"unitCode","unitName","chickBandDataID","nestID","SNPLDataID","eventID","locationID","siteID","siteName","year","bandCombination","chickBandDate","QCFlag","QCNotes","scientificName","commonName","TSN","chickWeightInGrams","drynessInPercent","eggToothPresence","yolkSacPresence","notes","type","basisOfRecord"
"PORE","Point Reyes National Seashore",49,"RA01_2017","20170909103231-589163005.35202","{3288D276-1858-4D63-B5B6-62BE77442B72}","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2017,"av:rr",2017-05-23,,,"Charadrius nivosus","Western Snowy Plover","824030",5,60,"Yes egg tooth are present",,"USFWS: 8021-20529","Event","HumanObservation"
"PORE","Point Reyes National Seashore",48,"RA01_2017","20170909103231-589163005.35202","{3288D276-1858-4D63-B5B6-62BE77442B72}","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2017,"av:rr",2017-05-23,,,"Charadrius nivosus","Western Snowy Plover","824030",5.19999980926514,100,"Yes egg tooth are present",,"USFWS: 8021-20528","Event","HumanObservation"
"PORE","Point Reyes National Seashore",94,"RA05_2018",,,"{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2018,"av:rg",2018-07-06,,,"Charadrius nivosus","Western Snowy Plover","824030",,95,"Yes egg tooth are present",,"USFWS: 8021-12090. Banded on 7/7/18 by M Lau","Event","HumanObservation"
"PORE","Point Reyes National Seashore",90,"RA02_2018",,,"{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2018,"av:gg",2018-05-16,,,"Charadrius nivosus","Western Snowy Plover","824030",,25,"Yes egg tooth are present",,"USFWS: 8021-12076","Event","HumanObservation"
"PORE","Point Reyes National Seashore",93,"RA05_2018",,,"{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2018,"av:rg",2018-07-06,,,"Charadrius nivosus","Western Snowy Plover","824030",5.09999990463257,100,"Yes egg tooth are present",,"USFWS: 8021-12088. Banded on 7/6 by R. DiGaudio","Event","HumanObservation"
"PORE","Point Reyes National Seashore",213,"RA01_2021",,,"{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2021,"av:yv",2021-05-30,,,"Charadrius nivosus","Western Snowy Plover","824030",,50,"Yes egg tooth are present","No yolk sac present","8021-26930","Event","HumanObservation"
"PORE","Point Reyes National Seashore",212,"RA01_2021",,,"{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2021,"av:yv",2021-05-30,,,"Charadrius nivosus","Western Snowy Plover","824030",,100,"Yes egg tooth are present","No yolk sac present","8021-26929","Event","HumanObservation"
"PORE","Point Reyes National Seashore",211,"RA01_2021",,,"{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2021,"av:yv",2021-05-30,,,"Charadrius nivosus","Western Snowy Plover","824030",,90,"No egg tooth present","No yolk sac present","8021-26931","Event","HumanObservation"
"PORE","Point Reyes National Seashore",210,"RA03_2021",,,"{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2021,"av:yb",2021-08-20,,,"Charadrius nivosus","Western Snowy Plover","824030",,100,"No egg tooth present","No yolk sac present","8021-26910","Event","HumanObservation"
"PORE","Point Reyes National Seashore",278,"RA05_2022",,,"{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2022,"av:gw",2022-08-02,,,"Charadrius nivosus","Western Snowy Plover","824030",,100,"Yes egg tooth are present","No yolk sac present","2851-04834, no aqua tape in banding kit, aqua band soldered but not taped","Event","HumanObservation"
"PORE","Point Reyes National Seashore",279,"RA05_2022",,,"{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2022,"x:x",2022-08-02,,,"Charadrius nivosus","Western Snowy Plover","824030",,50,,,"Not enough banding equipment to band chick","Event","HumanObservation"
"PORE","Point Reyes National Seashore",277,"RA03_2022",,,"{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2022,"va:ar",2022-05-27,,,"Charadrius nivosus","Western Snowy Plover","824030",,100,"No egg tooth present","No yolk sac present","8021-26903","Event","HumanObservation"
"PORE","Point Reyes National Seashore",287,"RA03_2023",,,"{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2023,"rv:bg",2023-05-18,,,"Charadrius nivosus","Western Snowy Plover","824030",,25,"Yes egg tooth are present","No yolk sac present","M. Lau, 2851-04841","Event","HumanObservation"
"PORE","Point Reyes National Seashore",288,"RA03_2023",,,"{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2023,"rv:br",2023-05-18,,,"Charadrius nivosus","Western Snowy Plover","824030",,25,"Yes egg tooth are present","No yolk sac present","M. Lau, 2851-04840","Event","HumanObservation"
"PORE","Point Reyes National Seashore",289,"RA03_2023",,,"{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2023,"rv:gv",2023-05-18,,,"Charadrius nivosus","Western Snowy Plover","824030",,100,,"No yolk sac present","C. Eyster, 8021-26977, Banded a day after","Event","HumanObservation"
"PORE","Point Reyes National Seashore",286,"RA01_2023",,,"{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2023,"rv:gg",2023-05-12,,,"Charadrius nivosus","Western Snowy Plover","824030",,50,"Yes egg tooth are present","No yolk sac present","M. Lau, 2851-04837","Event","HumanObservation"
"PORE","Point Reyes National Seashore",285,"RA01_2023",,,"{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2023,"rv:gb",2023-05-12,,,"Charadrius nivosus","Western Snowy Plover","824030",,50,"Yes egg tooth are present","No yolk sac present","C. Eyster, 2851-04838","Event","HumanObservation"
"PORE","Point Reyes National Seashore",354,"NP09_2024","c18218ac-e962-499b-b02d-f72e4be36912","774407fa-7af3-4a57-ac5c-02970c4d5e6b","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2024,"av:vr",2024-06-09,"ODEC","Original Band Combination delimiter was a semicolon, updated to colon","Charadrius nivosus","Western Snowy Plover","824030",,100,"No egg tooth present","No yolk sac present",,"Event","HumanObservation"
"PORE","Point Reyes National Seashore",355,"NP09_2024","c18218ac-e962-499b-b02d-f72e4be36912","774407fa-7af3-4a57-ac5c-02970c4d5e6b","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2024,"av:vy",2024-06-09,"ODEC","Original Band Combination delimiter was a semicolon, updated to colon","Charadrius nivosus","Western Snowy Plover","824030",,95,"No egg tooth present","No yolk sac present",,"Event","HumanObservation"
"PORE","Point Reyes National Seashore",353,"NP09_2024","c18218ac-e962-499b-b02d-f72e4be36912","774407fa-7af3-4a57-ac5c-02970c4d5e6b","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2024,"av:vv",2024-06-09,"ODEC","Original Band Combination delimiter was a semicolon, updated to colon","Charadrius nivosus","Western Snowy Plover","824030",,100,"No egg tooth present","No yolk sac present",,"Event","HumanObservation"
"PORE","Point Reyes National Seashore",397,"NP23_2025","2ba6b176-dbfb-4fcb-9094-207fbf573602","913644a3-0f9f-425f-ad65-885a3b907fec","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2025,"rv:ra ",2025-07-24,,,"Charadrius nivosus","Western Snowy Plover","824030",,100,"Yes egg tooth are present","No yolk sac present",,"Event","HumanObservation"
"PORE","Point Reyes National Seashore",411,"RA09_2025",,,"{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2025,"rv:by",2025-07-23,"MECBR","Chick band data entered post hoc, no SNPL_DATA_ID defined","Charadrius nivosus","Western Snowy Plover","824030",,30,"Yes egg tooth are present","No yolk sac present",,"Event","HumanObservation"
"PORE","Point Reyes National Seashore",410,"RA09_2025",,,"{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2025,"rv:rg",2025-07-23,"MECBR","Chick band data entered post hoc, no SNPL_DATA_ID defined","Charadrius nivosus","Western Snowy Plover","824030",,30,"Yes egg tooth are present","No yolk sac present",,"Event","HumanObservation"
"PORE","Point Reyes National Seashore",409,"RA07_2025",,,"{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2025,"rv:gw",2025-06-10,"MECBR","Chick band data entered post hoc, no SNPL_DATA_ID defined","Charadrius nivosus","Western Snowy Plover","824030",,75,"Yes egg tooth are present","No yolk sac present",,"Event","HumanObservation"
"PORE","Point Reyes National Seashore",408,"RA07_2025",,,"{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2025,"rv:ab",2025-06-10,"MECBR","Chick band data entered post hoc, no SNPL_DATA_ID defined","Charadrius nivosus","Western Snowy Plover","824030",,100,"No egg tooth present","No yolk sac present","Chick had egg tooth during morning check but not in the afternoon","Event","HumanObservation"
"PORE","Point Reyes National Seashore",396,"NP23_2025","2ba6b176-dbfb-4fcb-9094-207fbf573602","913644a3-0f9f-425f-ad65-885a3b907fec","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2025,"rv:vy",2025-07-24,,,"Charadrius nivosus","Western Snowy Plover","824030",,100,"No egg tooth present","No yolk sac present",,"Event","HumanObservation"
"PORE","Point Reyes National Seashore",412,"RA09_2025",,,"{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2025,"rv:ap",2025-07-23,"MECBR","Chick band data entered post hoc, no SNPL_DATA_ID defined","Charadrius nivosus","Western Snowy Plover","824030",,90,"No egg tooth present","No yolk sac present",,"Event","HumanObservation"
"PORE","Point Reyes National Seashore",395,"NP23_2025","2ba6b176-dbfb-4fcb-9094-207fbf573602","913644a3-0f9f-425f-ad65-885a3b907fec","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2025,"rv:wo",2025-07-24,,,"Charadrius nivosus","Western Snowy Plover","824030",,100,"Yes egg tooth are present","No yolk sac present",,"Event","HumanObservation"
"PORE","Point Reyes National Seashore",363,"DB01_2024","0351f255-0285-4ddc-acf6-ec0510633a47","54c059e0-b000-400c-a65b-088a9a8f52de","{EE76E19D-DBD4-4FCB-9151-C32719F25BD9}","DB","Drakes Beach",2024,"av:ra",2024-07-09,"ODEC","Original Band Combination delimiter was a semicolon, updated to colon","Charadrius nivosus","Western Snowy Plover","824030",,90,"Yes egg tooth are present","No yolk sac present",,"Event","HumanObservation"
"PORE","Point Reyes National Seashore",364,"DB01_2024","0351f255-0285-4ddc-acf6-ec0510633a47","54c059e0-b000-400c-a65b-088a9a8f52de","{EE76E19D-DBD4-4FCB-9151-C32719F25BD9}","DB","Drakes Beach",2024,"va:rg",2024-07-09,"ODEC","Original Band Combination delimiter was a semicolon, updated to colon","Charadrius nivosus","Western Snowy Plover","824030",,80,"Yes egg tooth are present","No yolk sac present",,"Event","HumanObservation"
"PORE","Point Reyes National Seashore",12,"K05_2016","20160630144910-579518616.199493","{F757B468-2228-47A8-82EF-9BC04A81ED82}","{39744D68-DFEE-4649-ACE2-806C077E64E2}","K","Kehoe Beach",2016,"av:gy",2016-06-24,,,"Charadrius nivosus","Western Snowy Plover","824030",,,"Yes egg tooth are present",,"USFWS - 8021-11095","Event","HumanObservation"
"PORE","Point Reyes National Seashore",15,"K07_2016","20160906141403-279342055.32074","{3603C614-8D3C-4A47-A267-BBB56ECC4B13}","{39744D68-DFEE-4649-ACE2-806C077E64E2}","K","Kehoe Beach",2016,"av:bw",2016-07-16,,,"Charadrius nivosus","Western Snowy Plover","824030",6.5,85,"Yes egg tooth are present",,"USFWS - 8021-20783","Event","HumanObservation"
"PORE","Point Reyes National Seashore",14,"K07_2016","20160906141403-279342055.32074","{3603C614-8D3C-4A47-A267-BBB56ECC4B13}","{39744D68-DFEE-4649-ACE2-806C077E64E2}","K","Kehoe Beach",2016,"av:bw",2016-07-16,,,"Charadrius nivosus","Western Snowy Plover","824030",6.5,90,"Yes egg tooth are present",,"USFWS - 8021-20782","Event","HumanObservation"
"PORE","Point Reyes National Seashore",13,"K07_2016","20160906141403-279342055.32074","{3603C614-8D3C-4A47-A267-BBB56ECC4B13}","{39744D68-DFEE-4649-ACE2-806C077E64E2}","K","Kehoe Beach",2016,"av:bw",2016-07-16,,,"Charadrius nivosus","Western Snowy Plover","824030",6.09999990463257,90,"Yes egg tooth are present",,"USFWS - 8021-20781","Event","HumanObservation"
"PORE","Point Reyes National Seashore",11,"K05_2016","20160630144910-579518616.199493","{F757B468-2228-47A8-82EF-9BC04A81ED82}","{39744D68-DFEE-4649-ACE2-806C077E64E2}","K","Kehoe Beach",2016,"av:gy",2016-06-24,,,"Charadrius nivosus","Western Snowy Plover","824030",,,"Yes egg tooth are present",,"USFWS - 8021-11094","Event","HumanObservation"
"PORE","Point Reyes National Seashore",87,"K02_2017","20170909141127-263792932.033539","{D7B2F37D-0372-4269-A929-A05E0FA573A0}","{39744D68-DFEE-4649-ACE2-806C077E64E2}","K","Kehoe Beach",2017,"av:wb",2017-06-17,,,"Charadrius nivosus","Western Snowy Plover","824030",,,,,"USFWS: 8021-20538","Event","HumanObservation"
"PORE","Point Reyes National Seashore",89,"K02_2017","20170909141127-263792932.033539","{D7B2F37D-0372-4269-A929-A05E0FA573A0}","{39744D68-DFEE-4649-ACE2-806C077E64E2}","K","Kehoe Beach",2017,"av:wb",2017-06-17,,,"Charadrius nivosus","Western Snowy Plover","824030",,,,,"USFWS: 8021-20540","Event","HumanObservation"
"PORE","Point Reyes National Seashore",88,"K02_2017","20170909141127-263792932.033539","{D7B2F37D-0372-4269-A929-A05E0FA573A0}","{39744D68-DFEE-4649-ACE2-806C077E64E2}","K","Kehoe Beach",2017,"av:wb",2017-06-17,,,"Charadrius nivosus","Western Snowy Plover","824030",,,,,"USFWS: 8021-20539","Event","HumanObservation"
"PORE","Point Reyes National Seashore",153,"K05_2019",,,"{39744D68-DFEE-4649-ACE2-806C077E64E2}","K","Kehoe Beach",2019,"av:vo",2019-08-04,,,"Charadrius nivosus","Western Snowy Plover","824030",,80,"Yes egg tooth are present",,"8021-18675","Event","HumanObservation"
"PORE","Point Reyes National Seashore",148,"K03_2019",,,"{39744D68-DFEE-4649-ACE2-806C077E64E2}","K","Kehoe Beach",2019,"av:oy",2019-07-11,,,"Charadrius nivosus","Western Snowy Plover","824030",,90,"Yes egg tooth are present",,"8021-18665","Event","HumanObservation"
"PORE","Point Reyes National Seashore",149,"K03_2019",,,"{39744D68-DFEE-4649-ACE2-806C077E64E2}","K","Kehoe Beach",2019,"av:oy",2019-07-11,,,"Charadrius nivosus","Western Snowy Plover","824030",,80,"Yes egg tooth are present",,"8021-18666","Event","HumanObservation"
"PORE","Point Reyes National Seashore",150,"K04_2019",,,"{39744D68-DFEE-4649-ACE2-806C077E64E2}","K","Kehoe Beach",2019,"av:wo",2019-07-20,,,"Charadrius nivosus","Western Snowy Plover","824030",,100,"Yes egg tooth are present",,"8021-18670","Event","HumanObservation"
"PORE","Point Reyes National Seashore",152,"K05_2019",,,"{39744D68-DFEE-4649-ACE2-806C077E64E2}","K","Kehoe Beach",2019,"av:vo",2019-08-04,,,"Charadrius nivosus","Western Snowy Plover","824030",,95,"Yes egg tooth are present",,"8021-18674","Event","HumanObservation"
"PORE","Point Reyes National Seashore",154,"K06_2019",,,"{39744D68-DFEE-4649-ACE2-806C077E64E2}","K","Kehoe Beach",2019,"av:rg",2019-08-09,,,"Charadrius nivosus","Western Snowy Plover","824030",,95,"Yes egg tooth are present",,"8021-18676","Event","HumanObservation"
"PORE","Point Reyes National Seashore",155,"K06_2019",,,"{39744D68-DFEE-4649-ACE2-806C077E64E2}","K","Kehoe Beach",2019,"av:rg",2019-08-09,,,"Charadrius nivosus","Western Snowy Plover","824030",,50,"Yes egg tooth are present",,"8021-18677","Event","HumanObservation"
"PORE","Point Reyes National Seashore",151,"K04_2019",,,"{39744D68-DFEE-4649-ACE2-806C077E64E2}","K","Kehoe Beach",2019,"av:wo",2019-07-20,,,"Charadrius nivosus","Western Snowy Plover","824030",,100,"Yes egg tooth are present",,"8021-18671","Event","HumanObservation"
"PORE","Point Reyes National Seashore",147,"K03_2019",,,"{39744D68-DFEE-4649-ACE2-806C077E64E2}","K","Kehoe Beach",2019,"av:oy",2019-07-11,,,"Charadrius nivosus","Western Snowy Plover","824030",,90,"Yes egg tooth are present",,"8021-18664","Event","HumanObservation"
"PORE","Point Reyes National Seashore",158,"K01_2020",,,"{39744D68-DFEE-4649-ACE2-806C077E64E2}","K","Kehoe Beach",2020,"av:yb",2020-05-31,,,"Charadrius nivosus","Western Snowy Plover","824030",,95,"No egg tooth present",,"8021-18694","Event","HumanObservation"
"PORE","Point Reyes National Seashore",162,"K02_2020",,,"{39744D68-DFEE-4649-ACE2-806C077E64E2}","K","Kehoe Beach",2020,"av:bv",2020-07-04,,,"Charadrius nivosus","Western Snowy Plover","824030",,100,"No egg tooth present",,"8021-26947","Event","HumanObservation"
"PORE","Point Reyes National Seashore",161,"K02_2020",,,"{39744D68-DFEE-4649-ACE2-806C077E64E2}","K","Kehoe Beach",2020,"av:bv",2020-07-04,,,"Charadrius nivosus","Western Snowy Plover","824030",,100,"No egg tooth present",,"8021-26948","Event","HumanObservation"
"PORE","Point Reyes National Seashore",160,"K01_2020",,,"{39744D68-DFEE-4649-ACE2-806C077E64E2}","K","Kehoe Beach",2020,"av:yb",2020-05-31,,,"Charadrius nivosus","Western Snowy Plover","824030",,100,"No egg tooth present",,"8021-18696","Event","HumanObservation"
"PORE","Point Reyes National Seashore",159,"K01_2020",,,"{39744D68-DFEE-4649-ACE2-806C077E64E2}","K","Kehoe Beach",2020,"av:yb",2020-05-31,,,"Charadrius nivosus","Western Snowy Plover","824030",,95,"Yes egg tooth are present",,"8021-18695","Event","HumanObservation"
"PORE","Point Reyes National Seashore",157,"K04_2020",,,"{39744D68-DFEE-4649-ACE2-806C077E64E2}","K","Kehoe Beach",2020,"av:ov",2020-07-13,,,"Charadrius nivosus","Western Snowy Plover","824030",,100,"No egg tooth present",,"8021-18690","Event","HumanObservation"
"PORE","Point Reyes National Seashore",156,"K04_2020",,,"{39744D68-DFEE-4649-ACE2-806C077E64E2}","K","Kehoe Beach",2020,"av:ov",2020-07-13,,,"Charadrius nivosus","Western Snowy Plover","824030",,100,"Yes egg tooth are present",,"8021-18691","Event","HumanObservation"
"PORE","Point Reyes National Seashore",209,"K06_2021",,,"{39744D68-DFEE-4649-ACE2-806C077E64E2}","K","Kehoe Beach",2021,"av:ra",2021-06-25,,,"Charadrius nivosus","Western Snowy Plover","824030",,100,"Yes egg tooth are present","No yolk sac present","8021-26924","Event","HumanObservation"
"PORE","Point Reyes National Seashore",203,"K08_2021",,,"{39744D68-DFEE-4649-ACE2-806C077E64E2}","K","Kehoe Beach",2021,"av:av",2021-07-29,,,"Charadrius nivosus","Western Snowy Plover","824030",,100,"Yes egg tooth are present","No yolk sac present","8021-26962","Event","HumanObservation"
"PORE","Point Reyes National Seashore",204,"K08_2021",,,"{39744D68-DFEE-4649-ACE2-806C077E64E2}","K","Kehoe Beach",2021,"av:av",2021-07-29,,,"Charadrius nivosus","Western Snowy Plover","824030",,100,"No egg tooth present","No yolk sac present","8021-26963","Event","HumanObservation"
"PORE","Point Reyes National Seashore",205,"K07_2021",,,"{39744D68-DFEE-4649-ACE2-806C077E64E2}","K","Kehoe Beach",2021,"av:aa",2021-06-29,,,"Charadrius nivosus","Western Snowy Plover","824030",,15,"Yes egg tooth are present","Yes yolk sac present","8021-26921","Event","HumanObservation"
"PORE","Point Reyes National Seashore",206,"K07_2021",,,"{39744D68-DFEE-4649-ACE2-806C077E64E2}","K","Kehoe Beach",2021,"av:aa",2021-06-29,,,"Charadrius nivosus","Western Snowy Plover","824030",,15,"Yes egg tooth are present","No yolk sac present","8021-26920","Event","HumanObservation"
"PORE","Point Reyes National Seashore",207,"K06_2021",,,"{39744D68-DFEE-4649-ACE2-806C077E64E2}","K","Kehoe Beach",2021,"av:ra",2021-06-25,,,"Charadrius nivosus","Western Snowy Plover","824030",,100,"Yes egg tooth are present","No yolk sac present","8021-26923","Event","HumanObservation"
"PORE","Point Reyes National Seashore",208,"K06_2021",,,"{39744D68-DFEE-4649-ACE2-806C077E64E2}","K","Kehoe Beach",2021,"av:ra",2021-06-25,,,"Charadrius nivosus","Western Snowy Plover","824030",,100,"No egg tooth present","No yolk sac present","8021-26925","Event","HumanObservation"
"PORE","Point Reyes National Seashore",310,"K03_2023",,,"{39744D68-DFEE-4649-ACE2-806C077E64E2}","K","Kehoe Beach",2023,"rv:aw",2023-06-26,,,"Charadrius nivosus","Western Snowy Plover","824030",,100,"Yes egg tooth are present","No yolk sac present","M.Lau, 2851-04889, no fledge","Event","HumanObservation"
"PORE","Point Reyes National Seashore",308,"K03_2023",,,"{39744D68-DFEE-4649-ACE2-806C077E64E2}","K","Kehoe Beach",2023,"rv:aa",2023-06-26,,,"Charadrius nivosus","Western Snowy Plover","824030",,100,"No egg tooth present","No yolk sac present","M.Lau, 2851-04891, no fledge","Event","HumanObservation"
"PORE","Point Reyes National Seashore",309,"K03_2023",,,"{39744D68-DFEE-4649-ACE2-806C077E64E2}","K","Kehoe Beach",2023,"rv:ar",2023-06-26,,,"Charadrius nivosus","Western Snowy Plover","824030",,100,"No egg tooth present","No yolk sac present","M.Lau, 2851-04890, no fledge","Event","HumanObservation"
"PORE","Point Reyes National Seashore",312,"K06_2023",,,"{39744D68-DFEE-4649-ACE2-806C077E64E2}","K","Kehoe Beach",2023,"rv:wb",2023-07-31,,,"Charadrius nivosus","Western Snowy Plover","824030",,100,"No egg tooth present","No yolk sac present","M.Lau, 2851-04880, no fledge","Event","HumanObservation"
"PORE","Point Reyes National Seashore",311,"K06_2023",,,"{39744D68-DFEE-4649-ACE2-806C077E64E2}","K","Kehoe Beach",2023,"rv:yy",2023-07-31,,,"Charadrius nivosus","Western Snowy Plover","824030",,100,"No egg tooth present","No yolk sac present","M.Lau, 2851-04879, no fledge","Event","HumanObservation"
"PORE","Point Reyes National Seashore",306,"K01_2023",,,"{39744D68-DFEE-4649-ACE2-806C077E64E2}","K","Kehoe Beach",2023,"rv:ww",2023-05-24,,,"Charadrius nivosus","Western Snowy Plover","824030",,100,"No egg tooth present","No yolk sac present","M. Lau, 2851-04839, didn’t fledge","Event","HumanObservation"
"PORE","Point Reyes National Seashore",305,"K01_2023",,,"{39744D68-DFEE-4649-ACE2-806C077E64E2}","K","Kehoe Beach",2023,"rv:wr",2023-05-24,,,"Charadrius nivosus","Western Snowy Plover","824030",,100,"Yes egg tooth are present","No yolk sac present","M.Lau, 2851-04842, didn't fledge","Event","HumanObservation"
